"","x"
"59","SJ054M 2019-01-28 9H 50M 0S"
"60","SJ054M 2019-01-28 12H 14M 0S"
"61","SR043W 2019-01-31 7H 32M 0S"
"62","SS011N 2019-01-31 7H 59M 0S"
"63","XC001N 2019-01-31 8H 27M 0S"
"64","SF014E 2019-01-31 8H 47M 0S"
"65","GS010E 2019-01-31 9H 1M 0S"
"66","SR024E 2019-01-31 9H 14M 0S"
"67","SR017E 2019-01-31 9H 41M 0S"
"68","SR055M 2019-02-09 11H 52M 0S"
"69","SR138E 2019-02-12 8H 42M 0S"
"70","SR130E 2019-02-12 9H 2M 0S"
"71","SR119E 2019-02-12 9H 27M 0S"
"72","SR094E 2019-02-12 9H 36M 0S"
"73","SR090W 2019-02-12 9H 49M 0S"
"74","SR144W 2019-02-12 10H 27M 0S"
"75","SP001W 2019-02-19 10H 52M 0S"
"76","SR055M 2019-02-24 9H 26M 0S"
"77","SR055M 2019-02-24 9H 51M 0S"
"78","SR055M 2019-02-24 10H 31M 0S"
"79","SR055M 2019-02-24 11H 14M 0S"
"80","SR055M 2019-02-24 11H 39M 0S"
"81","SR055M 2019-02-24 12H 4M 0S"
"82","OR023E 2019-03-01 11H 18M 0S"
"83","SR055E 2019-03-04 9H 0M 0S"
"84","MR010W 2019-03-06 11H 4M 0S"
"85","SR055M 2019-03-10 9H 33M 0S"
"86","SR055M 2019-03-10 12H 0M 0S"
"87","SR055M 2019-03-10 13H 21M 0S"
"88","SB018S 2019-03-15 8H 31M 0S"
"89","SB018M 2019-03-15 8H 51M 0S"
"90","SB018M 2019-03-15 9H 27M 0S"
"91","SB018M 2019-03-15 9H 48M 0S"
"92","SB018N 2019-03-15 10H 16M 0S"
"93","SB018N 2019-03-15 10H 42M 0S"
"94","SB018N 2019-03-15 11H 10M 0S"
"95","SB018M 2019-03-15 11H 41M 0S"
"96","SB018S 2019-03-15 12H 9M 0S"
"97","SB018S 2019-03-15 12H 35M 0S"
"98","SJ041N 2019-03-18 9H 20M 0S"
"99","SJ032S 2019-03-18 10H 0M 0S"
"100","SJ026S 2019-03-18 10H 40M 0S"
"101","OR003W 2019-03-18 11H 17M 0S"
"102","WD002W 2019-03-18 11H 37M 0S"
"103","OR014W 2019-03-18 12H 8M 0S"
"104","OR019E 2019-03-18 12H 18M 0S"
"105","OR023E 2019-03-18 12H 27M 0S"
"106","MR010W 2019-03-18 12H 56M 0S"
"107","SB018S 2019-03-19 7H 44M 0S"
"108","SB018S 2019-03-19 8H 10M 0S"
"109","SB018S 2019-03-19 8H 38M 0S"
"110","SB018N 2019-03-19 9H 6M 0S"
"111","SA010W 2019-03-19 9H 19M 0S"
"112","SB018N 2019-03-19 9H 30M 0S"
"113","SB018N 2019-03-19 9H 56M 0S"
"114","SA004W 2019-03-19 9H 58M 0S"
"115","SB018N 2019-03-19 10H 23M 0S"
"116","SA008W 2019-03-19 10H 44M 0S"
"117","SB018M 2019-03-19 10H 49M 0S"
"118","SB018M 2019-03-19 11H 15M 0S"
"119","SP000W 2019-03-19 11H 28M 0S"
"120","SB018M 2019-03-19 11H 41M 0S"
"121","SP001W 2019-03-19 11H 57M 0S"
"122","SJ054M 2019-03-20 7H 30M 0S"
"123","SJ054M 2019-03-20 8H 0M 0S"
"124","SR144W 2019-03-20 8H 25M 0S"
"125","SJ054M 2019-03-20 8H 26M 0S"
"126","SR138E 2019-03-20 8H 50M 0S"
"127","SJ054M 2019-03-20 8H 51M 0S"
"128","SR130E 2019-03-20 9H 5M 0S"
"129","SJ054M 2019-03-20 9H 16M 0S"
"130","SR119E 2019-03-20 9H 20M 0S"
"131","SJ054M 2019-03-20 9H 42M 0S"
"132","SR094E 2019-03-20 9H 48M 0S"
"133","SR090W 2019-03-20 10H 0M 0S"
"134","SJ054M 2019-03-20 10H 7M 0S"
"135","SR071E 2019-03-20 10H 26M 0S"
"136","SJ054M 2019-03-20 10H 32M 0S"
"137","SR080E 2019-03-20 10H 40M 0S"
"138","SJ054M 2019-03-20 10H 45M 0S"
"139","SJ054M 2019-03-20 10H 56M 0S"
"140","SJ054M 2019-03-20 11H 23M 0S"
"141","TM001N 2019-03-20 11H 52M 0S"
"142","SJ054M 2019-03-22 7H 38M 0S"
"143","SB018S 2019-03-22 7H 38M 0S"
"144","SJ054M 2019-03-22 8H 3M 0S"
"145","SB018S 2019-03-22 8H 4M 0S"
"146","SJ054M 2019-03-22 8H 27M 0S"
"147","SB018S 2019-03-22 8H 29M 0S"
"148","SJ054M 2019-03-22 8H 51M 0S"
"149","SB018S 2019-03-22 8H 57M 0S"
"150","SJ054M 2019-03-22 9H 16M 0S"
"151","SB018M 2019-03-22 9H 27M 0S"
"152","SJ054M 2019-03-22 9H 40M 0S"
"153","SB018M 2019-03-22 9H 55M 0S"
"154","SJ054M 2019-03-22 10H 13M 0S"
"155","SB018M 2019-03-22 10H 21M 0S"
"156","SJ054M 2019-03-22 10H 37M 0S"
"157","SB018N 2019-03-22 10H 54M 0S"
"158","SJ054M 2019-03-22 11H 2M 0S"
"159","SB018N 2019-03-22 11H 20M 0S"
"160","SJ054M 2019-03-22 11H 25M 0S"
"161","SB018N 2019-03-22 11H 46M 0S"
"162","SR055M 2019-03-24 7H 50M 0S"
"163","SB018S 2019-03-24 7H 53M 0S"
"164","SR055M 2019-03-24 8H 16M 0S"
"165","SB018S 2019-03-24 8H 20M 0S"
"166","SR055M 2019-03-24 8H 41M 0S"
"167","SB018S 2019-03-24 8H 45M 0S"
"168","SR055M 2019-03-24 9H 5M 0S"
"169","SB018M 2019-03-24 9H 17M 0S"
"170","SR055M 2019-03-24 9H 30M 0S"
"171","SB018M 2019-03-24 9H 37M 0S"
"172","SR055M 2019-03-24 9H 51M 0S"
"173","SB018M 2019-03-24 10H 2M 0S"
"174","SB018N 2019-03-24 10H 38M 0S"
"175","SR055M 2019-03-24 10H 43M 0S"
"176","SB018N 2019-03-24 11H 3M 0S"
"177","SR055M 2019-03-24 11H 8M 0S"
"178","SB018N 2019-03-24 11H 29M 0S"
"179","SR055M 2019-03-24 11H 34M 0S"
"180","SB018N 2019-03-24 11H 56M 0S"
"181","SR055M 2019-03-24 11H 59M 0S"
"182","SR055M 2019-03-24 12H 24M 0S"
"183","SR055M 2019-03-24 12H 55M 0S"
"184","SB018N 2019-03-25 8H 5M 0S"
"185","SB018N 2019-03-25 8H 38M 0S"
"186","SB018N 2019-03-25 9H 6M 0S"
"187","SB018M 2019-03-25 9H 33M 0S"
"188","SB018M 2019-03-25 10H 0M 0S"
"189","SB018M 2019-03-25 10H 30M 0S"
"190","SR055M 2019-03-25 10H 55M 0S"
"191","SB018M 2019-03-25 10H 58M 0S"
"192","SB018S 2019-03-25 11H 30M 0S"
"193","SB018S 2019-03-25 11H 55M 0S"
"194","SR055M 2019-03-25 12H 7M 0S"
"195","SR055M 2019-03-25 12H 8M 0S"
"196","SB018S 2019-03-25 12H 23M 0S"
"197","SR055M 2019-03-26 10H 11M 0S"
"198","LP003E 2019-03-27 11H 38M 0S"
"199","SJ054M 2019-03-29 8H 12M 0S"
"200","SR014W 2019-04-03 8H 38M 0S"
"201","SB018S 2019-04-15 7H 45M 0S"
"202","SB018S 2019-04-15 8H 11M 0S"
"203","SB018S 2019-04-15 8H 35M 0S"
"204","SJ083W 2019-04-16 8H 58M 0S"
"205","SJ077E 2019-04-16 9H 38M 0S"
"206","SJ074W 2019-04-16 10H 4M 0S"
"207","SJ068W 2019-04-16 11H 9M 0S"
"208","SJ063W 2019-04-16 11H 43M 0S"
"209","SJ058W 2019-04-16 12H 31M 0S"
"210","SJ056E 2019-04-16 13H 3M 0S"
"211","SJ051E 2019-04-16 13H 56M 0S"
"212","MK004W 2019-04-17 8H 44M 0S"
"213","SR014W 2019-04-17 9H 12M 0S"
"214","SJ011S 2019-04-19 13H 25M 0S"
"215","SJ054M 2019-04-20 8H 2M 0S"
"216","SJ054M 2019-04-20 8H 25M 0S"
"217","SJ054M 2019-04-20 8H 48M 0S"
"218","SJ054M 2019-04-20 9H 12M 0S"
"219","SJ054M 2019-04-20 9H 53M 0S"
"220","SJ054M 2019-04-20 10H 20M 0S"
"221","SJ054M 2019-04-20 10H 47M 0S"
"222","SJ054M 2019-04-20 11H 20M 0S"
"223","SJ054M 2019-04-20 11H 43M 0S"
"224","SJ054M 2019-04-20 12H 8M 0S"
"225","SR055M 2019-04-22 8H 12M 0S"
"226","SR055M 2019-04-22 8H 36M 0S"
"227","SR055M 2019-04-22 9H 3M 0S"
"228","SR055M 2019-04-22 9H 23M 0S"
"229","SR055M 2019-04-22 9H 54M 0S"
"230","SR055M 2019-04-22 10H 23M 0S"
"231","SR055M 2019-04-22 10H 49M 0S"
"232","SR055M 2019-04-22 11H 20M 0S"
"233","SR055M 2019-04-22 11H 46M 0S"
"234","SJ054M 2019-04-29 11H 48M 0S"
"235","SB018S 2019-05-03 9H 45M 0S"
"236","SR055M 2019-05-03 10H 34M 0S"
"237","SJ054M 2019-05-09 8H 19M 0S"
"238","SB018N 2019-05-12 12H 10M 0S"
"239","OR003W 2019-05-24 7H 25M 0S"
"240","SJ054M 2019-05-30 10H 29M 0S"
"241","OR014W 2019-06-03 9H 56M 0S"
"242","OR019E 2019-06-03 10H 5M 0S"
"243","OR023E 2019-06-03 10H 25M 0S"
"244","SB018M 2019-06-04 11H 12M 0S"
"245","SB018M 2019-06-04 11H 44M 0S"
"246","SB018M 2019-06-04 12H 7M 0S"
"247","SR012W 2019-06-10 9H 14M 0S"
"248","SJ054M 2019-06-14 10H 44M 0S"
"249","SJ077E 2019-06-20 10H 2M 0S"
"250","SJ054M 2019-06-24 8H 7M 0S"
"251","SJ054M 2019-06-24 8H 30M 0S"
"252","SJ054M 2019-06-24 8H 53M 0S"
"253","SJ054M 2019-06-24 9H 17M 0S"
"254","SJ054M 2019-06-24 9H 40M 0S"
"255","SJ054M 2019-06-24 10H 3M 0S"
"256","SJ054M 2019-06-24 10H 27M 0S"
"257","SJ054M 2019-06-24 10H 50M 0S"
"258","SJ054M 2019-06-24 10H 51M 0S"
"259","SJ054M 2019-06-24 11H 28M 0S"
"260","SJ054M 2019-06-24 11H 51M 0S"
"261","SJ054M 2019-06-24 11H 52M 0S"
"262","OR019E 2019-07-01 10H 21M 0S"
"263","SJ054M 2019-07-02 11H 5M 0S"
"264","SR138E 2019-07-03 9H 10M 0S"
"265","SR130E 2019-07-03 10H 0M 0S"
"266","SR119E 2019-07-03 10H 18M 0S"
"267","SR094E 2019-07-03 11H 0M 0S"
"268","SR090W 2019-07-03 11H 30M 0S"
"269","SR080E 2019-07-03 12H 30M 0S"
"270","SR071E 2019-07-03 12H 53M 0S"
"271","SR080E 2019-07-08 11H 42M 0S"
"272","SR060E 2019-07-09 7H 30M 0S"
"273","AM001S 2019-07-09 7H 55M 0S"
"274","LI007E 2019-07-09 8H 32M 0S"
"275","LI008E 2019-07-09 8H 37M 0S"
"276","LI009E 2019-07-09 8H 41M 0S"
"277","LI010E 2019-07-09 8H 43M 0S"
"278","LI011E 2019-07-09 8H 46M 0S"
"279","SR049E 2019-07-09 8H 52M 0S"
"280","LI010W 2019-07-09 9H 1M 0S"
"281","LI009W 2019-07-09 9H 4M 0S"
"282","LI008W 2019-07-09 9H 7M 0S"
"283","LI007W 2019-07-09 9H 10M 0S"
"284","LI006W 2019-07-09 9H 11M 0S"
"285","SR043W 2019-07-09 9H 17M 0S"
"286","SS011N 2019-07-09 9H 48M 0S"
"287","XC001N 2019-07-09 10H 20M 0S"
"288","GS010E 2019-07-09 10H 20M 0S"
"289","SF014E 2019-07-09 10H 50M 0S"
"290","SR024E 2019-07-09 11H 15M 0S"
"291","SR017E 2019-07-09 11H 32M 0S"
"292","SR055M 2019-07-10 7H 13M 0S"
"293","SR055M 2019-07-10 7H 38M 0S"
"294","SB018S 2019-07-10 7H 48M 0S"
"295","SJ054M 2019-07-10 7H 52M 0S"
"296","LI001E 2019-07-10 7H 55M 0S"
"297","SR055M 2019-07-10 8H 2M 0S"
"298","SB018S 2019-07-10 8H 13M 0S"
"299","SJ054M 2019-07-10 8H 17M 0S"
"300","SR055M 2019-07-10 8H 26M 0S"
"301","SB018S 2019-07-10 8H 38M 0S"
"302","LI002E 2019-07-10 8H 40M 0S"
"303","SJ054M 2019-07-10 8H 42M 0S"
"304","LI003E 2019-07-10 8H 45M 0S"
"305","SR055M 2019-07-10 8H 50M 0S"
"306","SJ083W 2019-07-10 8H 51M 0S"
"307","LI004E 2019-07-10 9H 3M 0S"
"308","SB018M 2019-07-10 9H 5M 0S"
"309","SJ054M 2019-07-10 9H 8M 0S"
"310","SR055M 2019-07-10 9H 25M 0S"
"311","LI005E 2019-07-10 9H 29M 0S"
"312","SB018M 2019-07-10 9H 30M 0S"
"313","SJ054M 2019-07-10 9H 33M 0S"
"314","SJ077E 2019-07-10 9H 45M 0S"
"315","LI001W 2019-07-10 9H 48M 0S"
"316","SR055M 2019-07-10 9H 50M 0S"
"317","LI002W 2019-07-10 9H 51M 0S"
"318","LI003W 2019-07-10 9H 54M 0S"
"319","SB018M 2019-07-10 9H 55M 0S"
"320","LI004W 2019-07-10 9H 55M 0S"
"321","LI005W 2019-07-10 9H 56M 0S"
"322","SJ054M 2019-07-10 9H 58M 0S"
"323","SR055M 2019-07-10 10H 17M 0S"
"324","SB018N 2019-07-10 10H 21M 0S"
"325","SJ054M 2019-07-10 10H 29M 0S"
"326","SR055M 2019-07-10 10H 40M 0S"
"327","SB018N 2019-07-10 10H 46M 0S"
"328","SJ054M 2019-07-10 10H 54M 0S"
"329","SJ074W 2019-07-10 11H 5M 0S"
"330","SR055M 2019-07-10 11H 6M 0S"
"331","SB018N 2019-07-10 11H 11M 0S"
"332","SJ054M 2019-07-10 11H 19M 0S"
"333","SB018N 2019-07-10 11H 36M 0S"
"334","SJ054M 2019-07-10 11H 44M 0S"
"335","SJ068W 2019-07-10 11H 50M 0S"
"336","SJ063W 2019-07-10 12H 13M 0S"
"337","SJ058W 2019-07-10 12H 35M 0S"
"338","SJ056E 2019-07-10 13H 0M 0S"
"339","SJ051E 2019-07-10 13H 40M 0S"
"340","LP003E 2019-07-11 7H 5M 0S"
"341","MK004W 2019-07-11 7H 31M 0S"
"342","SR014W 2019-07-11 7H 55M 0S"
"343","SJ054M 2019-07-11 8H 0M 0S"
"344","SJ041N 2019-07-11 8H 2M 0S"
"345","SR012W 2019-07-11 8H 13M 0S"
"346","SJ054M 2019-07-11 8H 30M 0S"
"347","SJ032S 2019-07-11 8H 30M 0S"
"348","SJ054M 2019-07-11 8H 55M 0S"
"349","TM001N 2019-07-11 9H 3M 0S"
"350","SJ026S 2019-07-11 9H 10M 0S"
"351","SJ054M 2019-07-11 9H 21M 0S"
"352","SJ005N 2019-07-11 9H 45M 0S"
"353","OR003W 2019-07-11 9H 47M 0S"
"354","SJ054M 2019-07-11 9H 50M 0S"
"355","WD002W 2019-07-11 10H 5M 0S"
"356","SJ054M 2019-07-11 10H 16M 0S"
"357","MS001N 2019-07-11 10H 19M 0S"
"358","OR014W 2019-07-11 10H 29M 0S"
"359","SJ054M 2019-07-11 10H 42M 0S"
"360","OR019E 2019-07-11 10H 44M 0S"
"361","OR023E 2019-07-11 10H 55M 0S"
"362","SJ001S 2019-07-11 11H 6M 0S"
"363","SJ054M 2019-07-11 11H 8M 0S"
"364","MR010W 2019-07-11 11H 32M 0S"
"365","SJ054M 2019-07-11 11H 34M 0S"
"366","SJ054M 2019-07-11 11H 59M 0S"
"367","DS002S 2019-07-11 12H 35M 0S"
"368","SR055M 2019-07-12 6H 53M 0S"
"369","SR055M 2019-07-12 7H 17M 0S"
"370","SB018S 2019-07-12 7H 41M 0S"
"371","SR055M 2019-07-12 7H 45M 0S"
"372","SP003E 2019-07-12 8H 0M 0S"
"373","SB018S 2019-07-12 8H 5M 0S"
"374","SR055M 2019-07-12 8H 8M 0S"
"375","SB018S 2019-07-12 8H 29M 0S"
"376","SR055M 2019-07-12 8H 32M 0S"
"377","SA009E 2019-07-12 8H 42M 0S"
"378","SB018M 2019-07-12 8H 54M 0S"
"379","SR055M 2019-07-12 8H 56M 0S"
"380","SB018M 2019-07-12 9H 18M 0S"
"381","SR055M 2019-07-12 9H 21M 0S"
"382","SA007E 2019-07-12 9H 32M 0S"
"383","SB018M 2019-07-12 9H 42M 0S"
"384","SR055M 2019-07-12 9H 44M 0S"
"385","SB018M 2019-07-12 10H 5M 0S"
"386","SR055M 2019-07-12 10H 8M 0S"
"387","SA001M 2019-07-12 10H 24M 0S"
"388","SB018N 2019-07-12 10H 29M 0S"
"389","SR055M 2019-07-12 10H 33M 0S"
"390","SB018N 2019-07-12 10H 54M 0S"
"391","SB018N 2019-07-12 11H 18M 0S"
"392","SR055M 2019-07-15 7H 35M 0S"
"393","SJ041N 2019-07-15 7H 48M 0S"
"394","SB018S 2019-07-15 7H 59M 0S"
"395","SR055M 2019-07-15 8H 1M 0S"
"396","SJ054M 2019-07-15 8H 5M 0S"
"397","SJ032S 2019-07-15 8H 8M 0S"
"398","SR143W 2019-07-15 8H 20M 0S"
"399","SJ026S 2019-07-15 8H 23M 0S"
"400","SB018S 2019-07-15 8H 23M 0S"
"401","SR055M 2019-07-15 8H 25M 0S"
"402","SJ054M 2019-07-15 8H 29M 0S"
"403","OR003W 2019-07-15 8H 45M 0S"
"404","SR055M 2019-07-15 8H 50M 0S"
"405","SJ054M 2019-07-15 8H 53M 0S"
"406","SB018S 2019-07-15 8H 54M 0S"
"407","WD002W 2019-07-15 9H 4M 0S"
"408","SR055M 2019-07-15 9H 14M 0S"
"409","SR138E 2019-07-15 9H 17M 0S"
"410","SJ054M 2019-07-15 9H 17M 0S"
"411","SB018N 2019-07-15 9H 20M 0S"
"412","SR055M 2019-07-15 9H 39M 0S"
"413","SJ054M 2019-07-15 9H 41M 0S"
"414","OR014W 2019-07-15 9H 44M 0S"
"415","SB018S 2019-07-15 9H 46M 0S"
"416","SR130E 2019-07-15 9H 50M 0S"
"417","OR019E 2019-07-15 10H 2M 0S"
"418","SR055M 2019-07-15 10H 5M 0S"
"419","SJ054M 2019-07-15 10H 5M 0S"
"420","SB018N 2019-07-15 10H 13M 0S"
"421","SR119E 2019-07-15 10H 22M 0S"
"422","SJ054M 2019-07-15 10H 29M 0S"
"423","SR055M 2019-07-15 10H 30M 0S"
"424","SB018S 2019-07-15 10H 38M 0S"
"425","OR023E 2019-07-15 10H 45M 0S"
"426","SJ054M 2019-07-15 10H 53M 0S"
"427","SR055M 2019-07-15 10H 55M 0S"
"428","SR094E 2019-07-15 10H 55M 0S"
"429","SB018M 2019-07-15 11H 5M 0S"
"430","SJ054M 2019-07-15 11H 17M 0S"
"431","SR055M 2019-07-15 11H 22M 0S"
"432","SR090W 2019-07-15 11H 25M 0S"
"433","MR010W 2019-07-15 11H 30M 0S"
"434","SB018M 2019-07-15 11H 31M 0S"
"435","SJ054M 2019-07-15 11H 41M 0S"
"436","SB018M 2019-07-15 11H 57M 0S"
"437","SR071E 2019-07-15 12H 50M 0S"
"438","SR080E 2019-07-15 13H 18M 0S"
"439","SR055M 2019-07-16 7H 24M 0S"
"440","SB018N 2019-07-16 7H 47M 0S"
"441","SR055M 2019-07-16 7H 52M 0S"
"442","SB018N 2019-07-16 8H 12M 0S"
"443","SR055M 2019-07-16 8H 19M 0S"
"444","SB018N 2019-07-16 8H 37M 0S"
"445","SR055M 2019-07-16 8H 48M 0S"
"446","SB018M 2019-07-16 9H 2M 0S"
"447","SR055M 2019-07-16 9H 9M 0S"
"448","SJ083W 2019-07-16 9H 11M 0S"
"449","SB018M 2019-07-16 9H 27M 0S"
"450","SR055M 2019-07-16 9H 33M 0S"
"451","SB018M 2019-07-16 9H 52M 0S"
"452","SR055M 2019-07-16 9H 58M 0S"
"453","SJ077E 2019-07-16 10H 7M 0S"
"454","SB018M 2019-07-16 10H 18M 0S"
"455","SR055M 2019-07-16 10H 22M 0S"
"456","SB018S 2019-07-16 10H 44M 0S"
"457","SR055M 2019-07-16 10H 45M 0S"
"458","SJ074W 2019-07-16 10H 54M 0S"
"459","SB018S 2019-07-16 11H 10M 0S"
"460","SJ068W 2019-07-16 11H 11M 0S"
"461","SR055M 2019-07-16 11H 15M 0S"
"462","SB018S 2019-07-16 11H 35M 0S"
"463","SJ063W 2019-07-16 11H 39M 0S"
"464","SJ058W 2019-07-16 11H 51M 0S"
"465","SJ056E 2019-07-16 12H 7M 0S"
"466","SJ051E 2019-07-16 13H 8M 0S"
"467","SR060E 2019-07-18 7H 10M 0S"
"468","DS002S 2019-07-18 7H 14M 0S"
"469","AM001S 2019-07-18 7H 34M 0S"
"470","SJ054M 2019-07-18 7H 40M 0S"
"471","LP003E 2019-07-18 7H 47M 0S"
"472","SJ054M 2019-07-18 8H 4M 0S"
"473","SR049E 2019-07-18 8H 6M 0S"
"474","MK004W 2019-07-18 8H 10M 0S"
"475","SJ054M 2019-07-18 8H 29M 0S"
"476","SR014W 2019-07-18 8H 35M 0S"
"477","SR043W 2019-07-18 8H 36M 0S"
"478","SJ054M 2019-07-18 8H 53M 0S"
"479","SS011N 2019-07-18 8H 57M 0S"
"480","SR012W 2019-07-18 9H 6M 0S"
"481","SJ054M 2019-07-18 9H 18M 0S"
"482","XC001N 2019-07-18 9H 20M 0S"
"483","TM001N 2019-07-18 9H 38M 0S"
"484","SJ054M 2019-07-18 9H 42M 0S"
"485","SF014E 2019-07-18 9H 53M 0S"
"486","MS001N 2019-07-18 10H 0M 0S"
"487","SJ054M 2019-07-18 10H 9M 0S"
"488","GS010E 2019-07-18 10H 14M 0S"
"489","SR024E 2019-07-18 10H 25M 0S"
"490","SJ054M 2019-07-18 10H 35M 0S"
"491","SJ005N 2019-07-18 10H 46M 0S"
"492","SR017E 2019-07-18 11H 0M 0S"
"493","SJ054M 2019-07-18 11H 0M 0S"
"494","SJ054M 2019-07-18 11H 28M 0S"
"495","SJ001S 2019-07-18 11H 40M 0S"
"496","SJ054M 2019-07-18 11H 59M 0S"
"497","SR055M 2019-07-19 7H 32M 0S"
"498","SJ054M 2019-07-19 7H 55M 0S"
"499","SB018N 2019-07-19 8H 1M 0S"
"500","SR055M 2019-07-19 8H 3M 0S"
"501","SJ054M 2019-07-19 8H 19M 0S"
"502","SB018N 2019-07-19 8H 27M 0S"
"503","SR055M 2019-07-19 8H 27M 0S"
"504","SP001W 2019-07-19 8H 42M 0S"
"505","SJ054M 2019-07-19 8H 44M 0S"
"506","SP000W 2019-07-19 8H 52M 0S"
"507","SR055M 2019-07-19 8H 52M 0S"
"508","SB018N 2019-07-19 8H 53M 0S"
"509","SJ054M 2019-07-19 9H 7M 0S"
"510","SR055M 2019-07-19 9H 17M 0S"
"511","SB018M 2019-07-19 9H 20M 0S"
"512","SA004W 2019-07-19 9H 20M 0S"
"513","SJ054M 2019-07-19 9H 33M 0S"
"514","SR055M 2019-07-19 9H 41M 0S"
"515","SB018M 2019-07-19 9H 44M 0S"
"516","SA008W 2019-07-19 9H 55M 0S"
"517","SJ054M 2019-07-19 9H 59M 0S"
"518","SR055M 2019-07-19 10H 6M 0S"
"519","SB018M 2019-07-19 10H 8M 0S"
"520","SA010W 2019-07-19 10H 24M 0S"
"521","SR055M 2019-07-19 10H 30M 0S"
"522","SJ054M 2019-07-19 10H 31M 0S"
"523","SB018S 2019-07-19 10H 41M 0S"
"524","SR055M 2019-07-19 10H 55M 0S"
"525","SJ054M 2019-07-19 10H 58M 0S"
"526","SB018S 2019-07-19 11H 6M 0S"
"527","SR055M 2019-07-19 11H 19M 0S"
"528","SJ054M 2019-07-19 11H 23M 0S"
"529","SB018S 2019-07-19 11H 31M 0S"
"530","SJ054M 2019-07-19 11H 49M 0S"
"531","SB018S 2019-07-19 11H 54M 0S"
"532","SR055M 2019-07-22 7H 27M 0S"
"533","SR060E 2019-07-22 7H 30M 0S"
"534","SB018S 2019-07-22 7H 42M 0S"
"535","AM001S 2019-07-22 7H 50M 0S"
"536","SR055M 2019-07-22 7H 51M 0S"
"537","SJ054M 2019-07-22 7H 57M 0S"
"538","SB018S 2019-07-22 8H 9M 0S"
"539","SR055M 2019-07-22 8H 16M 0S"
"540","SR043W 2019-07-22 8H 20M 0S"
"541","SJ054M 2019-07-22 8H 23M 0S"
"542","SB018S 2019-07-22 8H 34M 0S"
"543","SR055M 2019-07-22 8H 40M 0S"
"544","SR043W 2019-07-22 8H 50M 0S"
"545","SJ054M 2019-07-22 8H 50M 0S"
"546","SB018S 2019-07-22 9H 0M 0S"
"547","SR055M 2019-07-22 9H 4M 0S"
"548","SJ054M 2019-07-22 9H 15M 0S"
"549","SS011N 2019-07-22 9H 21M 0S"
"550","SB018M 2019-07-22 9H 26M 0S"
"551","SR055M 2019-07-22 9H 27M 0S"
"552","XC001N 2019-07-22 9H 32M 0S"
"553","SJ054M 2019-07-22 9H 33M 0S"
