"WaterYear","Month","T0","T1","T3","T5"
40,8,8642.50594594218,8659.50865464613,8678.35208062104,8728.34635969503
40,9,8181.55532124601,8191.56184652713,8225.99907469508,8283.08419720082
41,10,12374.8947582653,12381.9436433553,12408.2398176123,12435.5885813425
41,11,9155.47003124198,9156.98422280698,9157.22163310286,9157.15052917716
41,12,9099.84483854153,9099.34219768504,9097.53693877732,9094.98554407495
41,1,9088.49104937831,9087.59523144135,9085.47727790956,9083.01610832969
41,2,21705.7023227975,9171.29356798687,9174.10926264586,9175.66370384781
41,3,39004.0373706263,21934.6819654987,9486.21703188115,9501.16734306108
41,4,24478.2797049365,27083.2466262519,10107.1566695961,10130.9603241977
41,5,14598.4676496273,14609.0512300812,10466.2304970947,10498.8734176134
41,6,4131.07398933565,4160.66336517479,4179.66642085176,4217.99634765407
41,7,3763.06278398115,3784.83565840946,3806.570647263,3823.41237366547
41,8,3975.08803057276,3992.20413358351,4023.06432198892,4056.42098305665
41,9,3701.19990570367,3739.73822617871,3815.10261142559,3820.17555470661
42,10,4855.69588747932,4881.71352948058,4165.74588971297,4159.35166915917
42,11,4615.41837253983,4615.96265842908,4603.33814552322,4588.87689292534
42,12,4562.07017723306,4561.10607193969,4557.86076468422,4552.1965563402
42,1,4556.52576332237,4555.59063888615,4552.56830862868,4547.44822328203
42,2,4620.0766519336,4620.13255263399,4642.77901396603,4647.18421271975
42,3,4904.95960868991,4917.89476147968,4928.53144975984,4946.94676870226
42,4,13180.4369846342,10016.5469317276,7755.58718780795,7776.99458032588
42,5,13469.322904855,10411.1961034159,8231.32062325495,8265.27287127653
42,6,4178.71452585637,4188.43278078849,4238.19206369221,4264.71782995735
42,7,4016.14005825777,4046.4139794284,4097.39403062452,4134.54013647154
42,8,4020.58584928269,4028.40683079074,4075.55361485824,4114.94485043295
42,9,3817.40751210121,3862.8054490966,3915.12213152719,3940.21613895956
43,10,4876.47722133547,4167.93596569462,4179.8022466761,4183.04933852805
43,11,4607.96248485427,4600.34437526239,4594.71563772743,4583.0634358933
43,12,4559.88149774442,4558.60535461143,4558.13783570274,4555.02310632419
43,1,4554.84812095912,4553.68125879243,4550.74024892386,4545.71445399974
43,2,4715.66622076023,4719.99374353269,4728.54498923608,4733.90877365989
43,3,4865.90344262017,4883.21183927567,4914.28768959984,4933.88062346851
43,4,7794.4253701669,7798.96551683553,7818.46990384267,7841.95201182751
43,5,8143.94757293953,8159.35103235065,8188.71555736285,8217.35593392843
43,6,4137.92620784418,4168.55028681453,4207.93304188981,4229.20107350873
43,7,4006.2201866545,4031.5837820746,4078.67441570881,4123.0514748247
43,8,4085.69140719611,4098.05556080421,4146.50909128282,4189.11842250735
43,9,3636.0283966175,3632.92757109651,3641.25333362534,3633.91535490552
44,10,4180.76891744133,4182.99111046923,4191.6604174597,4197.93060638914
44,11,4597.87827036707,4590.69946832301,4574.21110215706,4556.49453191531
44,12,4555.40486729208,4553.35544405964,4547.51676631325,4540.67074784824
44,1,4551.74261031546,4549.7839237701,4544.55024117908,4539.00670253434
44,2,4576.73932872366,4575.99727711282,4579.87863758465,4583.68351631557
44,3,4745.69462773029,4771.0173840617,4791.13259230591,4807.92400746456
44,4,20947.4878092067,20954.2256472323,14419.5658658489,34560.4110245018
44,5,20953.0447173632,20963.5065643244,14601.1837635804,10482.2109820946
44,6,4104.68117534787,4110.19277905008,4134.57468445958,4170.44354192247
44,7,3947.00848942923,3957.54013719005,4018.45265809799,4073.00219262284
44,8,4079.10784156315,4076.45517735686,4108.68267896496,4153.64393620093
44,9,3637.86692872137,3646.30314059697,3659.44552010464,3706.19690950269
45,10,6849.68550155086,6851.37705875886,4907.98008418425,4208.0548599288
45,11,5372.47146604158,5372.4446641714,4611.92233396345,4602.7549587736
45,12,5313.77019341401,5311.5762353516,4553.94336948536,4550.23115304368
45,1,5309.38778160892,5307.13644874998,4548.80767418743,4545.35542545139
45,2,259200.487227969,244206.045667404,181248.575915262,119216.474725147
45,3,104377.790602024,87049.4766438085,84502.0515728309,88690.274899226
45,4,119802.147930156,120089.725086512,170055.943007423,214845.523534568
45,5,32083.0175596918,32084.30263998,32120.7864463481,32153.8469457151
45,6,8629.69204991852,8652.17774224131,8674.70650976333,8711.27823147794
45,7,8287.03955329606,8294.07996164317,8324.52597476739,8346.84177103558
45,8,8427.7197468327,8444.77680913045,8505.47942300516,8543.54834404311
45,9,8295.74138243647,8265.40215480051,8352.90788757889,8442.6841587387
46,10,12268.2975323186,12273.4701523576,12276.7135682634,12289.6457639879
46,11,9134.00573979051,9137.22060637505,9136.43589276913,9135.68334618181
46,12,9089.55792116941,9086.29759368443,9086.01002751796,9083.70595365637
46,1,9084.55635760965,9083.87354857299,9080.70944741496,9078.54651038363
46,2,9260.73954888339,9263.50391311723,9268.74150791136,9272.95909372725
46,3,9414.44681439099,9431.18561148424,9449.85911203252,9470.4762050819
46,4,14352.7784282196,13229.8438198922,10068.4414217536,7800.91780003278
46,5,14517.1767152714,13438.8506184009,10384.4918986157,8202.23144208988
46,6,4033.93839031929,4050.16401782803,4071.76882330728,4095.58792793771
46,7,3586.54648835338,3593.57905777509,3609.20844423506,3620.9053746892
46,8,4101.10807451415,4118.91183991241,4154.03176877813,4189.18768345431
46,9,3661.67809671031,3670.21715169896,3729.39586741393,3749.28380771999
47,10,4889.94311619301,4897.44736873259,4181.81492887787,4174.36374743258
47,11,4609.25957101855,4607.95467831466,4595.50413687165,4585.89853571104
47,12,35888.1345784126,33025.3702076899,24675.3494158104,9843.7556188756
47,1,172349.739214959,201325.344502279,255356.173663617,269828.562695836
47,2,96890.3263085491,92593.9398663128,93225.3363827085,109947.44009962
47,3,83791.6906136857,76471.9287990608,66825.2268303329,68712.1954978593
47,4,102829.804221347,92931.1046160303,98517.6491904189,77291.6932162227
47,5,32203.7896734353,32112.6152965104,21382.4779530413,14679.2764033693
47,6,8587.86785385698,8601.65137924707,4091.00963715467,4099.33482915085
47,7,8156.98291220124,8159.86377398359,3675.1331765251,3678.08880933542
47,8,8557.6905267414,8575.78622642757,4074.27467939095,4101.83342242308
47,9,8184.91847181613,8225.87748065888,3773.6025961268,3866.36554047413
48,10,30573.3316024931,12445.4026534286,6970.31232612718,5031.96001615312
48,11,12025.8861118159,9151.45758292372,5379.80648029759,4617.39529429041
48,12,29567.6083440906,9085.88992926201,5310.12526202426,4551.57724482664
48,1,21337.6464003255,9081.7372195114,5306.85175105797,4548.84948519434
48,2,55491.3640870541,47593.523282626,5417.54973511478,4668.86756050792
48,3,42749.0972839739,37781.6037447998,56915.2668848936,8036.31650396626
48,4,33134.5265218012,56498.2524910977,49995.0968001789,7962.73335856249
48,5,14623.9902397659,14656.7551664368,10520.6182104687,8298.33805950132
