county,state,reports,crop.index,animal.index,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,all.pixels,d.forest,e.forest,m.forest
Skamania,Washington,54,66.00,68.00,11100.00,11126.00,11155.00,11255.00,11338.00,11339.00,4845607,69680,3356770,75924
Snohomish,Washington,58,476.00,645.00,715515.00,722494.00,732844.00,746008.00,759417.00,772501.00,6320369,232635,3043904,552704
Spokane,Washington,4,1173.00,1021.00,472127.00,473484.00,475880.00,479434.00,484418.00,490945.00,5124350,1599,1428845,228
Stevens,Washington,8,580.00,596.00,43487.00,43487.00,43567.00,43341.00,43556.00,43791.00,7311570,17534,4818257,60
Thurston,Washington,16,457.00,622.00,253067.00,256529.00,258838.00,262666.00,266048.00,269536.00,2225981,112319,601384,206294
Wahkiakum,Washington,2,39.00,68.00,3972.00,4018.00,3992.00,4057.00,4066.00,4042.00,826442,58473,330374,35757
Walla Walla,Washington,14,479.00,225.00,58925.00,59512.00,59435.00,59575.00,59771.00,60338.00,3738309,1188,116793,2047
Whatcom,Washington,18,751.00,805.00,201570.00,203415.00,204961.00,206349.00,208491.00,212284.00,7203993,193925,3112222,257607
Whitman,Washington,0,659.00,269.00,44797.00,45083.00,46639.00,46849.00,46938.00,48177.00,6266618,5660,87144,484
Yakima,Washington,24,1769.00,1017.00,244313.00,246326.00,246844.00,247342.00,247698.00,248830.00,12407293,13588,3789256,7585
